Word,Count
we,30
observe,1
today,3
not,16
a,28
victory,1
of,66
party,1
but,13
celebration,1
freedom--symbolizing,1
an,2
end,1
as,6
well,3
beginning--signifying,1
renewal,1
change.,1
for,15
i,3
have,4
sworn,1
before,2
you,4
and,34
almighty,1
god,1
the,85
same,3
solemn,1
oath,1
our,21
forbears,1
prescribed,1
nearly,1
century,1
three-quarters,1
ago.,1
world,3
is,7
very,1
different,1
now.,1
man,2
holds,1
in,23
his,3
mortal,1
hands,1
power,4
to,37
abolish,1
all,9
forms,2
human,3
poverty,1
life.,1
yet,2
revolutionary,1
beliefs,1
which,7
forebears,1
fought,1
are,8
still,1
at,3
issue,1
around,2
globe--the,1
belief,1
that,19
rights,2
come,1
from,7
generosity,1
state,1
hand,2
god.,1
dare,3
forget,1
heirs,1
first,4
revolution.,1
let,16
word,2
go,3
forth,2
this,12
time,1
"place,",1
friend,1
foe,2
"alike,",1
torch,1
has,3
been,4
passed,2
new,7
generation,2
americans--born,1
"century,",1
tempered,1
by,7
"war,",1
disciplined,1
hard,1
bitter,1
"peace,",3
proud,1
ancient,1
heritage--and,1
unwilling,1
witness,1
or,7
permit,1
slow,1
undoing,1
those,7
nation,2
always,4
"committed,",1
committed,1
home,1
world.,2
every,2
"know,",1
whether,2
it,5
wishes,1
us,11
"ill,",1
shall,5
pay,1
any,8
"price,",1
bear,3
"burden,",1
meet,2
"hardship,",1
support,1
"friend,",1
oppose,2
assure,2
survival,1
success,2
liberty.,1
much,1
pledge--and,1
more.,1
old,1
allies,1
whose,1
cultural,1
spiritual,1
origins,1
"share,",1
pledge,5
loyalty,1
faithful,1
friends.,1
united,2
there,2
little,2
cannot,4
do,7
host,1
cooperative,1
ventures.,1
divided,1
can,9
do--for,1
powerful,2
challenge,1
odds,1
split,1
asunder.,1
states,1
whom,1
welcome,2
ranks,1
"free,",1
one,3
form,1
colonial,1
control,3
away,1
merely,2
be,7
replaced,1
far,2
more,3
iron,1
tyranny.,1
expect,1
find,2
them,5
supporting,2
view.,1
hope,3
strongly,1
their,2
own,2
freedom--and,1
remember,1
"that,",1
"past,",1
who,6
foolishly,1
sought,1
riding,1
back,2
tiger,1
ended,1
up,1
inside.,1
people,2
huts,1
villages,1
half,1
globe,1
struggling,1
break,1
bonds,1
mass,1
"misery,",1
best,2
efforts,1
help,3
"themselves,",1
whatever,1
period,1
required--not,1
because,3
communists,1
may,3
doing,1
"it,",1
seek,2
"votes,",1
right.,1
if,2
free,3
society,1
many,1
"poor,",1
save,1
few,2
rich.,1
sister,1
republics,1
south,1
"border,",1
offer,2
special,1
pledge--to,1
convert,1
good,3
words,1
into,1
deeds--in,1
alliance,1
progress--to,1
assist,1
men,1
governments,1
casting,1
off,1
chains,1
poverty.,1
peaceful,1
revolution,1
become,1
prey,1
hostile,1
powers.,1
neighbors,1
know,2
join,3
with,5
aggression,1
subversion,1
anywhere,1
americas.,1
other,4
hemisphere,1
intends,1
remain,1
master,1
its,6
house.,1
assembly,1
sovereign,1
"states,",1
"nations,",1
last,1
age,1
where,2
instruments,2
war,2
outpaced,1
renew,1
support--to,1
prevent,1
becoming,1
forum,1
invective--to,1
strengthen,1
shield,1
weak--and,1
enlarge,1
area,1
writ,1
run.,1
"finally,",2
nations,3
would,2
make,1
themselves,1
"adversary,",1
request:,1
both,9
sides,7
begin,2
anew,1
quest,1
dark,1
powers,1
destruction,1
unleashed,1
science,2
engulf,1
humanity,1
planned,1
accidental,1
self-destruction.,1
tempt,1
weakness.,1
only,3
when,1
arms,2
sufficient,1
beyond,2
doubt,2
certain,1
they,1
will,7
never,3
employed.,1
neither,1
two,1
great,1
groups,1
take,1
comfort,1
present,1
course--both,1
overburdened,1
cost,1
modern,1
"weapons,",1
rightly,1
alarmed,1
steady,1
spread,1
deadly,1
"atom,",1
racing,1
alter,1
uncertain,1
balance,2
terror,1
stays,1
mankind's,1
final,3
war.,1
so,1
anew--remembering,1
on,3
civility,1
sign,1
"weakness,",1
sincerity,1
subject,1
proof.,1
negotiate,1
out,1
fear.,1
fear,1
negotiate.,1
explore,2
what,5
problems,2
unite,2
instead,2
belaboring,1
divide,1
us.,1
"sides,",1
"time,",1
formulate,1
serious,1
precise,1
proposals,1
inspection,1
arms--and,1
bring,2
absolute,2
destroy,1
under,1
nations.,1
invoke,1
wonders,1
terrors.,1
together,2
"stars,",1
conquer,1
"deserts,",1
eradicate,1
"disease,",1
tap,1
ocean,1
depths,1
encourage,1
arts,1
commerce.,1
heed,1
corners,1
earth,2
command,1
isaiah--to,1
"""undo",1
heavy,1
burdens,1
.,3
(and),1
oppressed,1
"free.""",1
beachhead,1
cooperation,1
push,1
jungle,1
"suspicion,",1
creating,1
"endeavor,",1
"power,",1
"law,",1
strong,1
just,1
weak,1
secure,1
peace,1
preserved.,1
finished,2
hundred,1
days.,1
nor,3
thousand,1
"days,",1
life,2
"administration,",1
even,1
perhaps,1
lifetime,1
planet.,1
begin.,1
your,3
"hands,",1
my,3
fellow,3
"citizens,",1
than,1
"mine,",1
rest,1
failure,1
course.,1
since,1
country,3
was,1
"founded,",1
each,1
americans,2
summoned,1
give,1
testimony,1
national,1
loyalty.,1
graves,1
young,1
answered,1
call,4
service,1
surround,1
globe.,1
now,1
trumpet,1
summons,1
again--not,1
"arms,",1
though,2
need--not,1
"battle,",1
embattled,1
are--,1
burden,1
long,2
twilight,1
"struggle,",1
year,2
"out,",1
"""rejoicing",1
"hope,",1
patient,1
"tribulation""--a",1
struggle,1
against,2
common,1
enemies,2
man:,1
"tyranny,",1
"poverty,",1
disease,1
itself.,1
forge,1
these,1
grand,1
global,1
"alliance,",1
north,1
"south,",1
east,1
"west,",1
fruitful,1
mankind?,1
historic,1
effort?,1
history,2
"world,",2
generations,1
granted,1
role,1
defending,1
freedom,2
hour,1
maximum,1
danger.,1
shrink,1
responsibility--i,1
it.,1
believe,1
exchange,1
places,1
generation.,1
"energy,",1
"faith,",1
devotion,1
endeavor,1
light,2
serve,1
it--and,1
glow,1
fire,1
truly,2
"so,",1
americans:,1
ask,4
you--ask,1
country.,1
citizens,3
world:,1
america,2
"you,",1
man.,1
here,2
high,1
standards,1
strength,1
sacrifice,1
you.,1
conscience,1
sure,1
"reward,",1
judge,1
"deeds,",1
lead,1
land,1
"love,",1
asking,1
blessing,1
"help,",1
knowing,1
god's,1
work,1
must,1
own.,1
